brand_id,subsidiary_id,brand_name,main_phone_number,manager_email,manager_phone_number,sales_status_id,sales_status_note,category,core_product_summary,recent_brand_issues,last_updated_at
13,108,"LF (랜드앤드홈)",02-6900-0114,lf_manager@lfcorp.com,010-3344-5566,5,"시즌별 집행 중","패션 그룹","국내 대표 패션 그룹으로 닥스, 헤지스, 라푸마 등 다양한 패션 브랜드 보유. 남성, 여성, 아동, 스포츠 등 다양한 카테고리 운영","디지털 전환 가속화, 지속가능한 패션 이니셔티브 도입","2025-01-07 09:20:35"
14,108,"삼성물산 패션그룹",02-528-4114,samsungcft_manager@samsung.com,010-4455-6677,4,"신규 매체 협의 중","패션 그룹","빈폴, 로가디스, 구호 등 다양한 패션 브랜드 운영. 캐주얼부터 포멀까지 다양한 스타일의 의류 라인업 보유","MZ세대 타겟 신규 브랜드 론칭, 온라인 판매 채널 강화","2025-01-31 16:40:15"
15,109,"코오롱인더스트리 FnC",02-724-1114,kolon_manager@kolon.com,010-5566-7788,5,"브랜드 인지도 강화 캠페인","패션 그룹","코오롱스포츠, 헤드, 잭니클라우스 등 다양한 패션 브랜드 보유. 특히 아웃도어 및 스포츠 라인이 강점","친환경 소재 개발 및 적용 확대, 빈티지 라인 리런칭","2025-01-10 11:30:25"
16,109,"한섬",02-3440-5114,handsome_manager@handsome.co.kr,010-6677-8899,3,"제안서 검토 중","패션 그룹","타임, 마인, 시스템, 더캐시미어 등 여성복 중심의 패션 브랜드 운영. 고급스러운 디자인과 품질이 특징","남성복 라인 확대, 해외 시장 진출 가속화","2025-02-02 15:20:40"
17,110,"디올코리아",02-513-0700,dior_manager@kr.dior.com,010-7788-9900,5,"럭셔리 타겟팅 캠페인","명품","프랑스 럭셔리 패션 하우스로 의류, 가방, 액세서리, 향수 등 다양한 제품군 보유. 레이디 디올 백과 새들백이 대표 상품","남성 라인 확장, 한국 시장 전용 한정판 출시 예정","2025-01-13 14:10:30"
18,110,"발렌시아가코리아",02-3439-8686,balenciaga_manager@kr.balenciaga.com,010-8899-0011,3,"신규 매체 제안","명품","스페인 출신 디자이너 브랜드로 현대적이고 실험적인 디자인이 특징. 트리플S 스니커즈, 후디 등이 인기 아이템","컬래버레이션 라인 확대, 디지털 마케팅 강화","2025-02-04 10:45:20"
19,111,"마르지엘라코리아",02-3479-1499,margiela_manager@kr.margiela.com,010-9900-1122,2,"미팅 예정","명품","벨기에 아방가르드 패션 브랜드로 해체주의적 디자인 접근법이 특징. 타비 부츠와 숫자 로고가 시그니처","신규 디자이너 영입 후 브랜드 아이덴티티 재정립 중","2025-02-06 16:30:45"
20,111,"버버리코리아",02-3449-4411,burberry_manager@kr.burberry.com,010-0011-2233,5,"시즌별 캠페인 집행","명품","영국 럭셔리 패션 브랜드로 트렌치코트와 체크 패턴이 시그니처. 클래식한 디자인과 영국적 감성이 특징","디지털 퍼스트 전략 강화, 지속가능한 패션 이니셔티브 확대","2025-01-16 09:15:55"
21,112,"메종 키츠네",02-6971-8710,kitsune_manager@maisonkitsune.com,010-1122-3344,5,"타겟 마케팅 집행","컨템포러리","프랑스-일본 컨템포러리 패션 브랜드로 음악 레이블과 카페도 운영. 미니멀하고 세련된 디자인의 캐주얼웨어 제공","한국 시장 확장, 서울 플래그십 스토어 오픈 예정","2025-01-19 11:20:40"
22,112,"아크네 스튜디오",02-512-1601,acne_manager@acnestudios.com,010-2233-4455,4,"신규 캠페인 기획 중","컨템포러리","스웨덴 컨템포러리 패션 브랜드로 데님과 미니멀한 디자인의 의류가 특징. 아티스틱한 감성과 모던한 스타일링","한국 마켓 전용 캡슐 컬렉션 준비 중, 지속가능한 데님 라인 확대","2025-02-09 10:35:30"
23,113,"아미",02-517-1020,ami_manager@amiparis.com,010-3344-5566,2,"컨택 후 대기","컨템포러리","프랑스 파리 기반 컨템포러리 남성복 브랜드로 심플하고 세련된 디자인의 캐주얼웨어 제공. 하트 로고가 시그니처","여성 라인 확장, 액세서리 카테고리 강화","2025-02-11 09:20:15"
24,113,"스톤 아일랜드",02-3444-2860,stoneisland_manager@stoneisland.com,010-4455-6677,6,"예산 문제로 보류","컨템포러리","이탈리아 하이엔드 캐주얼웨어 브랜드로 혁신적인 소재 연구와 기능성이 특징. 암밴드 로고가 시그니처","기술적 아웃도어 라인 강화, 리미티드 에디션 출시 검토","2025-01-04 16:45:30"
25,114,"꼼데가르송",02-3018-1000,cdg_manager@commedesgarcons.com,010-5566-7788,5,"시즌별 프로모션 집행","컨템포러리","일본 아방가르드 패션 브랜드로 독창적이고 해체주의적인 디자인이 특징. 플레이 라인의 하트 로고가 인기","CDG 라인 확장, 아티스트 콜라보레이션 시리즈 진행 중","2025-01-20 14:30:50"
26,114,"메종 마르지엘라",02-512-3440,mm_manager@maisonmargiela.com,010-6677-8899,3,"제안서 검토 중","컨템포러리","벨기에 디자이너 브랜드로 해체주의와 리디자인이 특징. 타비 슈즈, 5AC 백 등이 시그니처 아이템","퍼퓸 라인 강화, 주얼리 컬렉션 확장","2025-02-13 10:20:40"
27,115,"타미 힐피거",02-368-7514,tommy_manager@kr.tommy.com,010-7788-9900,5,"연간 계약 진행","컨템포러리","미국 라이프스타일 패션 브랜드로 클래식 아메리칸 스타일의 캐주얼웨어 제공. 빨강, 흰색, 파랑의 삼색 로고가 시그니처","지속가능 소재 사용 확대, 디지털 마케팅 강화","2025-01-23 14:15:55"
28,115,"칼바인클라인",02-6965-1500,ck_manager@kr.calvinklein.com,010-8899-0011,2,"신규 컨택","컨템포러리","미국 패션 브랜드로 미니멀한 디자인의 의류와 언더웨어가 대표 상품. 심플한 디자인과 모노톤 컬러가 특징","젠더리스 컬렉션 확대, 디지털 네이티브 타겟 마케팅 강화","2025-02-16 16:45:20"
29,116,"세컨플로어",02-3478-4484,secondfloor_manager@secondfloor.co.kr,010-9900-1122,7,"하반기 검토 예정","디자이너","국내 여성복 디자이너 브랜드로 모던하고 페미닌한 디자인이 특징. 오피스룩과 데일리웨어 중심의 컬렉션 제공","해외 진출 준비 중, 액세서리 라인 확장 검토","2025-01-26 15:30:40"
30,116,"우영미",02-511-1318,wooyoungmi_manager@wooyoungmi.com,010-0011-2233,1,"아웃바운드 대상","디자이너","국내 대표 남성복 디자이너 브랜드로 모던하고 미니멀한 디자인이 특징. 파리 패션위크 참가 브랜드","여성복 라인 론칭 준비, 액세서리 카테고리 확장","2025-02-18 09:10:30"
